Assemblies	megahit-103-df	megahit-103-ml	megahit-103-ms	megahit-113-df	megahit-113-ml	megahit-113-ms	megahit-129-df	megahit-129-ml	megahit-129-ms	metaSPAdes
GCF_000006625.1_ASM662v1	611	556	589	583	697	693	599	768	783	657
GCF_000009925.1_ASM992v1	531	264	570	258	256	298	268	364	396	147
GCF_000010505.1_ASM1050v1	15	21	26	20	22	37	23	41	46	4
GCF_000011045.1_ASM1104v1	1245	1205	1213	1217	1352	1288	1199	1426	1464	1120
GCF_000011065.1_ASM1106v1	1231	1299	1220	1036	1663	1622	1161	2622	2442	818
GCF_000012845.1_ASM1284v1	234	250	291	259	310	287	281	319	321	248
GCF_000015325.1_ASM1532v1	192	174	264	256	293	358	279	312	374	122
GCF_000018685.1_ASM1868v1	2776	2686	2973	2924	2979	3163	3073	3196	3387	2318
GCF_000020225.1_ASM2022v1	142	148	219	122	208	137	93	282	156	43
GCF_000022065.1_ASM2206v1	1711	1648	1947	1925	1923	2057	2030	2073	2190	1399
GCF_000026525.1_ASM2652v1	132	107	104	111	175	166	114	194	230	98
GCF_000091345.1_ASM9134v1	1	1	5	7	6	7	7	21	17	1
GCF_000091405.1_ASM9140v1	7	2	6	7	14	17	9	31	20	6
GCF_000142965.1_ASM14296v1	693	710	621	659	1094	1003	646	2117	1811	414
GCF_000144405.1_ASM14440v1	723	795	687	724	961	857	647	1861	1636	595
GCF_000144625.1_ASM14462v1	1	-	-	-	-	2	2	-	1	-
GCF_000145035.1_ASM14503v1	1574	1603	1859	1801	1818	1897	1938	1916	2100	1171
GCF_000153905.1_ASM15390v1	2261	2008	1828	1843	3114	3117	1892	3599	3861	2551
GCF_000153925.1_ASM15392v1	301	292	305	281	356	341	307	371	387	284
GCF_000154065.1_ASM15406v1	473	492	622	596	639	644	643	680	731	326
GCF_000154105.1_ASM15410v1	512	506	528	515	589	608	564	668	718	438
GCF_000154125.1_ASM15412v1	186	305	222	124	146	152	149	398	253	76
GCF_000154345.1_ASM15434v1	61	52	81	74	91	134	85	80	130	42
GCF_000154385.1_ASM15438v1	719	1011	828	492	485	470	553	668	598	302
GCF_000154425.1_ASM15442v1	-	1	6	3	8	5	5	8	16	-
GCF_000154465.1_ASM15446v1	24	19	26	16	24	29	20	17	35	15
GCF_000154505.1_ASM15450v1	89	80	130	112	129	143	124	140	166	55
GCF_000155815.1_ASM15581v1	259	267	335	333	401	458	367	422	532	147
GCF_000155915.2_Lacto_jensenii_1153_V2	204	245	266	233	283	299	266	374	314	83
GCF_000156035.2_ASM15603v2	874	2102	1939	341	364	386	350	486	601	197
GCF_000156075.1_ASM15607v1	135	137	124	129	216	220	153	365	308	75
GCF_000156175.1_ASM15617v1	1265	1211	1299	1284	1369	1414	1299	1504	1534	1119
GCF_000156495.1_ASM15649v1	26	20	27	23	30	19	29	25	36	9
GCF_000156515.1_ASM15651v1	138	237	225	80	68	80	82	83	91	71
GCF_000157015.1_ASM15701v1	384	403	450	310	443	433	333	518	518	169
GCF_000157035.2_Bacteroides_sp_2_1_7_V2	372	360	370	412	424	470	389	479	458	285
GCF_000157075.2_Bact_sp_9_1_42FAA_V2	136	144	162	153	234	236	159	388	328	98
GCF_000157915.1_ASM15791v1	12	14	11	10	17	22	10	26	25	4
GCF_000157935.1_ASM15793v1	9	7	13	16	8	17	13	10	17	7
GCF_000157955.1_ASM15795v1	2474	2384	2267	2244	2876	2849	2332	3170	3282	2587
GCF_000157975.1_ASM15797v1	336	402	453	256	263	269	259	266	271	248
GCF_000158075.1_ASM15807v1	953	1675	1480	658	665	677	666	682	719	647
GCF_000158555.2_Erys_bact_D7_V2	205	220	293	282	312	368	313	328	387	161
GCF_000158655.1_ASM15865v1	2572	2516	2583	2489	2780	2844	2533	2991	3084	2501
GCF_000159215.1_ASM15921v1	1215	1138	1003	981	1623	1630	970	1788	1878	1364
GCF_000159615.1_ASM15961v1	234	220	265	248	298	340	271	395	422	140
GCF_000159875.2_Bact_sp_1_1_6_V2	472	459	497	399	648	658	481	1163	1044	232
GCF_000159995.1_ASM15999v1	12	12	21	23	23	38	17	28	40	14
GCF_000160035.2_ASM16003v2	538	424	312	357	1424	1328	377	2757	2748	585
GCF_000160095.1_ASM16009v1	677	477	2373	5815	1431	1580	1889	2433	3443	1246
GCF_000160135.1_ASM16013v1	4	1	5	1	-	4	1	1	1	6
GCF_000160675.1_ASM16067v1	-	-	3	4	2	1	2	5	5	1
GCF_000162175.1_ASM16217v1	1052	1014	1135	1112	1092	1175	1173	1239	1305	814
GCF_000162215.1_ASM16221v1	86	81	130	116	131	162	117	147	184	40
