Assemblies	megahit-103-df	megahit-103-ml	megahit-103-ms	megahit-113-df	megahit-113-ml	megahit-113-ms	megahit-129-df	megahit-129-ml	megahit-129-ms	metaSPAdes
GCF_000006625.1_ASM662v1	75.242	82.505	83.492	81.742	78.178	78.214	84.278	80.750	81.377	69.616
GCF_000009925.1_ASM992v1	18.156	12.779	16.399	16.955	17.575	22.143	19.447	21.031	19.750	12.810
GCF_000010505.1_ASM1050v1	0.568	0.660	0.772	1.505	0.870	4.507	2.060	2.459	2.473	0.253
GCF_000011045.1_ASM1104v1	36.825	37.530	42.037	40.041	36.109	35.233	40.180	38.006	38.172	29.700
GCF_000011065.1_ASM1106v1	27.651	28.834	29.493	29.008	30.916	30.660	27.620	38.538	37.603	15.665
GCF_000012845.1_ASM1284v1	3.825	4.043	5.093	4.683	4.708	4.212	5.140	4.882	4.909	3.640
GCF_000015325.1_ASM1532v1	2.123	1.998	2.920	2.869	3.253	3.855	3.238	3.419	4.083	1.303
GCF_000018685.1_ASM1868v1	41.481	42.107	47.629	47.436	43.012	45.979	50.590	46.497	49.383	32.122
GCF_000020225.1_ASM2022v1	3.742	3.951	5.876	3.264	5.393	4.137	2.617	7.471	4.246	1.207
GCF_000022065.1_ASM2206v1	29.406	29.221	35.035	35.156	32.403	35.084	37.502	34.849	37.240	22.271
GCF_000026525.1_ASM2652v1	3.253	2.578	2.647	2.864	3.916	3.835	2.863	4.518	5.147	2.236
GCF_000091345.1_ASM9134v1	0.046	0.100	0.219	0.449	0.162	0.363	0.291	0.803	0.802	0.051
GCF_000091405.1_ASM9140v1	0.233	0.053	0.328	0.569	0.535	0.595	0.978	1.049	0.653	0.298
GCF_000142965.1_ASM14296v1	89.663	89.290	89.429	88.324	90.196	89.615	91.282	90.739	91.772	85.770
GCF_000144405.1_ASM14440v1	96.476	96.126	96.919	95.551	96.847	96.789	97.121	97.487	97.487	94.364
GCF_000144625.1_ASM14462v1	0.003	-	-	-	-	0.012	0.008	-	0.004	-
GCF_000145035.1_ASM14503v1	24.214	25.039	29.781	28.699	27.277	28.905	31.323	28.954	31.816	16.713
GCF_000153905.1_ASM15390v1	89.584	90.627	91.978	90.774	87.097	87.320	91.622	89.129	88.288	84.563
